"utterance"	"word"	"annotation"	"source"	"secondary"	"sentence"	"type"	"ar"	"bg"	"bs"	"cs"	"da"	"de"	"el"	"en"	"es"	"et"	"fi"	"fr"	"he"	"hr"	"hu"	"id"	"it"	"ja"	"nl"	"no"	"pl"	"pt"	"ro"	"ru"	"sl"	"sr"	"sv"	"tr"	"vi"	"zh"
15831	14	"SP"	"agreement"		"and she sees a blue sky . and at that moment , she learns something that all her studies could n't tell her ."	"thing"	"شيئاً"	"нещо"	"nesto"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"chose"	"דבר-מה"	"nešto"	"dolgot"	"sesuatu"	"qualcosa"		"iets"	"noe"	"czegoś"	"algo"	"ceva"	"то"		"nešto"	"något"	"bir şey"	"một thứ"	
18949	5	"UF"	"error"	"IQ;PRED"	"you really think this is anything ? cross it off the list ."	"thing"	"أي"	"нещо"	"ima"	"něco"	"noget"	"spur"	"κάτι"	"anything"	"algo"	"midagi"	"vain"	"quelque chose"	"משהו"	"nešto"	"valamit"	"diselidiki"	"qualcosa"		"oplevert"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-то"	"kaj"	"ima"	"nåt"		"manh"	
15934	6	"SP"	"agreement"	"IQ"	"is it strange to have made something that hates you ?"	"thing"	"شيء"	"нещо"	"nesto"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"olyat"	"sesuatu"	"qualcosa"	"もの"	"iets"	"noe"	"coś"	"algo"	"ceva"	"нечто"	"nekaj"	"nešto"	"något"	"şey"	"một thứ"	"东西"
15949	4	"SP"	"agreement"		"let me ask you something . now , how was this plan gon na go , anyway ? because you did n't totally explain . so you were gon na get me drunk , steal my keycard , and reprogram the security protocols . but reprogram them to what ? to change the lockdown procedure ."	"thing"	"شيئاً"	"нещо"	"nesto"		"ting"		"κάτι"	"something"			"jotain"		"משהו"	"nešto"	"valamit"	"sesuatu"	"una cosa"	"はず"	"iets"	"noe"	"coś"	"algo"	"ceva"	"кое-что"	"nekaj"	"nešto"	"något"	"bir şey"	"một việc"	"件"
22801	10	"DN"	"agreement"		"it 's just an old toy . we never find anything good . listen . jeez !"	"thing"	"أيّ"	"нищо"	"nešto"	"něco"	"noget"	"irgendwas"	"κάτι"	"anything"	"nada"	"midagi"	"mitään"	"rien"		"nešto"	"semmi"		"niente"		"wat"	"noe"	"nic"	"nada"		"ничего"	"nič"	"нешто"	"något"		"thứ gì"	"東西"
10275	4	"DN"	"error"		"would n't that be something ."	"thing"	"رائعا؟"	"хубаво"	"super"	"něco"	"stort"	"toll"	"απίθανο"	"something"	"increíble"	"tore"	"jotakin"	"quelque chose"	"משהו"		"dobás"	"menyenangkan"	"fantastico"			"noe"	"coś"	"incrível"	"extraordinar"	"здорово"	"super"	"nešto"	"nåt"		"tuyệt"	"发现"
16364	8	"NS"	"agreement"		"no , i 'm fine . tell me something sweet ."	"thing"		"нещо"	"nešto"	"něco"	"noget"	"was"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"un mot"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"何 か"	"wat"	"noe"	"coś"	"algo"	"ceva"	"что-нибудь"	"nekaj"	"nešto"	"något"			"言"
11033	13	"DN"	"agreement"		"anyone can stand in front of a target . it does n't prove anything . then it should be easy for you to take his place ."	"thing"	"شيئ"	"нищо"	"ništa"	"nic"	"intet"	"nichts"	"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"rien"	"כלום"	"ništa"	"semmit"	"apapun"	"niente"		"niets"	"ingenting"	"niczego"	"nada"	"nimic"	"ничего"	"ničesar"	"ništa"	"inget"	"şeyi"	"gì cả"	
16532	24	"SP"	"agreement"		"- i like the hat . - i just picked it up . you remember your revolver ? oh , knew i 'd forgotten something . - i thought i 'd left the stove on . - you did ."	"thing"	"شيئاً"	"нещо"	"nešto"	"něco"	"glemte"	"was"	"κάτι"	"something"	"algo"	"midagi"	"jotain"		"משהו"	"nešto"		"sesuatu"	"cosa"	"か"	"iets"	"noe"		"algo"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"bir şey"		"东西"
16638	3				"he clearly felt something was coming to get him . or something did ."	"thing"		"някой"	"nešto"	"něco"	"noget"	"zugeschnappt"	"κάτι"	"something"	"algo"	"miski"	"jokin"		".ומשהו"	"nešto"		"ada"	"qualcosa"	"何 か"	"iets"	"noen"	"czegoś"	"algo"	"ceva"	"кто-то"	"nekaj"	"nešto"	"något"	"şeyin"		
16734	3	"DN"	"autoDN"		"you have fulfilled nothing . i want what , reardon was making for blackwood ."	"thing"	"شيئاً"	"нищо"	"ništa"	"nic"		"nichts"	"τίποτε"	"nothing"	"nada"	"midagi"	"mitään"	"rien"	"כלום"	"ništa"	"semmit"	"apapun"			"niets"	"noe"	"nic"	"nada"	"nimic"	"ничего"	"ničesar"	"ništa"	"något"	"hiçbir"	"gì cả"	
16785	3	"DN"	"autoDN"		"fortunately there 's nothing more stimulating than a case where everything goes against you . how many members of parliament do you intend to murder at noon today ."	"thing"	"شئ"	"няма"	"ništa"	"nic"	"noget"	"nichts"	"τίποτε"	"nothing"	"nada"	"midagi"		"rien"	"דבר"	"ništa"	"sem"	"ada"	"niente"	"こと"	"niets"	"ingenting"		"nada"	"nimic"	"ничего"	"nič"	"ništa"	"inget"	"şey yok"	"gì"	"没什 么"
16800	4	"DN"	"agreement"		"i 've never seen anything like it . look at this ."	"thing"	"الشئ،"	"нещо"	"ništa"	"nic"	"nogen"	"was"	"κάτι"	"anything"	"algo"	"midagi"	"mitään vastaavaa"	"rien"	"דבר"	"ništa"	"hasonlót"		"simile"	"こと"	"zoiets"	"noe"	"czegoś"	"nada"	"ceva"	"ничего"	"ničesar"	"ništa"	"något"	"şey"	"thứ gì"	
16954	9	"DN"	"autoDN"		"- what will you do with him ? - nothing . but i ca n't speak for cobol engineering ."	"thing"	"شيء"	"нищо"	"-ništa"	"nic"	"ingenting"	"nichts"	"τίποτα"	"nothing"	"nada"	"mitte midagi"	"emme mitään"	"rien"	".כלום"	"ništa"	"semmit"	"tak ada"	"niente"	"何 も"	"niets"	"-ingenting"	"nic"	"nada"	"nimic"	"ничего"	"–nič"	"-ništa"	"ingenting"	"hiçbir şey"	"không gì cả"	
16967	2	"UF"	"disagreement"	"PRED"	"it 's something , is n't it ? yes , it is ."	"thing"	"مثير،"	"уникално"	"-mrak"	"věci"	"noget"	"übel"	"απίστευτο"	"something"	"fantástico"		"aikamoista"	"quelque chose"		"izuzetno"	"látványos"	"sesuatu"	"notevole"	"わけ"	"iets"	"fantastisk"	"nieźle"	"especial"	"impresionant"	"впечатляет"	"nekaj"	"zanimljivo"	"nåt"	"olağanüstü"	"gì đó"	"很酷"
16999	36	"SP"	"agreement"		"how are we gon na bring fischer back ? we 're gon na have to come up with some kind of a kick . what ? i 'm gon na improvise . listen , there 's something you should know about me . about inception ."	"thing"		"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotakin"	"un truc"	"משהו"	"nešto"	"valamit"	"sesuatu"	"una cosa"	"事"	"iets"	"noe"		"coisa"	"ceva"	"кое-что"	"nekaj"	"nešto"	"nåt"	"bir şey"	"điều"	
17044	32	"DN"	"agreement"		"as your brother , i feel it 's my duty to warn you : you worry too much . - it 's starting to show . - and you never worry about anything ."	"thing"	"شيء"	"нищо"			"noget"	"etwas"	"τίποτα"	"anything"	"nada"		"huoleton"	"rien"	"דואג-"		"semmiért"	"apa pun"	"niente"	"無"	"iets"	"noe"	"niczym"	"nada"	"nimic"		"nič"	"ни"	"nåt"	"şey"	"điều gì"	"任 何事"
1228	8	"SP"	"error"		"she 's paralyzed . maybe they gave her something , i do n't know what . but it paralyzed her ."	"thing"	"شيئاً"	"нещо"		"něco"	"andet"	"etwas"	"κάτι"	"something"	"algo"		"jotain"		"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"algo"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"bir şey"	"thứ gì đó"	"东 西"
17120	18	"DN"	"agreement"		"where is he going ? ! - the ceremony is over . - but he did n't say anything . - did he like her ? - trust me , your grace , if he did n't like her , we 'd know ."	"thing"	"أي"	"нищо"	"nista"		"ingenting"		"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"rien"	"דבר-"	"ništa"	"semmit"	"apa-apa"	"niente"	"何 も"	"niks"	"noe"	"rzekł"	"nada"	"niciun"	"ничего"	"nič"	"ништа"	"inget"	"şey"	"gì cả"	"么也"
17162	7	"UF"	"disagreement"		"such a talent . you must make something for me ."	"thing"	"بشيء"	"нещо"	"nesto"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotakin"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"		"何 か"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-нибудь"	"nekaj"	"нешто"	"nåt"	"şey"	"cái gì đó"	"点 什"
17217	2	"CD"	"agreement"		"you break anything , the septa will have my head . what is --"	"thing"	"أى"	"нещо"	"nešto"		"noget"	"etwas"	"τίποτα"	"anything"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"išta"	"bármit"	"apa pun"	"qualcosa"		"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-нибудь"	"kaj"	"нешто"	"nåt"	"şey"	"gì"	
17330	1	"QU"	"agreement"		"is something out there ?"	"thing"		"нещо"	"nečeg"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"		"quelque chose"		"netko"	"valami"	"seseorang"	"qualcosa"		"iets"	"noen"	"coś"	"alguém"	"cineva"	"кто-то"	"kdo"	"нечег"	"nåt"	"şey"	"gì"	"外头"
6750	29	"DN"	"autoDN"		"the only thing that i can think about every day , every waking moment since the reaping , is how afraid i am . there 's no room for anything else . but maybe , if we got away from here , if we went somewhere safe , it could be different . i could be different . you think maybe the president 's bluffing ? he 's not bluffing ."	"thing"	"شئ"	"нищо"	"šta"	"nic"		"etwas"	"τίποτε"	"anything"	"nada"	"millegi"	"mitään"	"rien"	"דבר"	"što"	"semmi"	"hal"	"nient'altro"	"こと"	"iets"	"noe"	"coś"	"nada"	"nimic"		"nič"		"något"	"hiçbir şeye"	"gì"	
3239	16	"DN"	"agreement"		"stop . stop . do n't touch it . sorry . please , do n't touch anything . sweating ."	"thing"	"أي"	"нищо"	"ništa"		"noget"		"τίποτα"	"anything"	"nada"	"midagi"	"mihinkään"	"rien"	"דבר"	"ništa"	"semmihez"	"apa pun"	"niente"	"も"	"niets"	"noe"	"niczego"	"nada"	"nimic"	"ничего"		"ništa"	"ingenting"	"şeye"	"thứ gì"	"何 东 西"
17580	11	"DN"	"autoDN"		"any sign of our assailant ? third location , and still nothing . could be our friend from last night decided to take the day off ."	"thing"	"شيء"	"нищо"	"nista"			"nichts"	"τίποτα"	"nothing"	"nada"	"midagi"		"rien"	"כלום"	"ništa"	"semmi"	"belum"	"niente"	"何 も 無"	"niets"	"ikke"	"nic"	"nada"	"nimic"		"nič"	"ništa"		"yok"	"gì"	"都 没有"
17588	4	"SP"	"agreement"		"but i did find something interesting about galuska . several of his parolees that got sent back inside complained about him setting them up . said galuska planted evidence on them . what does he get out of it ? i 'm gon na find that out . in the meantime , can you try not to break any more laws ?"	"thing"	"شيئاً"	"нещо"	"nesto"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"		"un truc"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"		"iets"	"noe"	"czegoś"	"uma coisa"	"ceva"	"кое-что"	"nekaj"	"nešto"	"nåt"	"bir şeyler"	"một thứ"	
17651	12	"QU"	"agreement"		"did he make it to the island ? did he tell you anything ?"	"thing"	"بشيء"	"нещо"	"ista"		"noget"	"irgendetwas"	"τίποτα"	"anything"	"algo"	"midagi"	"jotakin"	"quelque chose"	"משהו"	"išta"	"bármit"	"sesuatu"	"niente"	"何"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-нибудь"	"kaj"	"нешто"	"nåt"	"şey"	"gì"	"或"
17682	2	"SP"	"agreement"		"there 's something that i 've been afraid to ask , but i need to know . ok ."	"thing"	"شيء"	"нещо"	"nesto"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"asja"	"asia"	"quelque chose"	"משהו"	"nešto"	"valami"	"ada"	"una cosa"			"noe"		"algo"	"ceva"		"nekaj"	"нешто"	"sak"	"şey"	"một điều"	"ㄇ"
17684	0	"QU"	"agreement"		"something wrong ? i asked somebody to do something . they did n't do it ."	"thing"		"нещо"	"nesto"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jokin"	"quelque chose"	"משהו"	"nešto"	"valami"	"ada"	"qualcosa"	"何 か あ"		"noe"	"coś"	"algo"	"ceva"	"что-то"	"kaj"	"нешто"	"sak"		"chuyện gì"	"ㄇ"
17684	0	"QU"	"agreement"		"something wrong ? i asked somebody to do something . they did n't do it ."	"thing"	"شيء"	"нещо"	"nesto"		"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jokin"	"quelque chose"	"משהו"	"nešto"	"valamire"	"sesuatu"	"qualcosa"		"wat"	"tjeneste"	"coś"	"coisa"	"ceva"	"кое-что"	"nekaj"	"нешто"	"sak"	"şey"	"một việc"	"ㄇ"
7216	14	"NS"	"agreement"		"i imagine it must be so exciting to squeeze your finger here and watch something die over there ."	"thing"	"شيئًا"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"miski"	"jonkin"	"quelque chose"	"במשהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"algo"	"ceva"	"нечто"	"nekaj"	"nešto"	"nåt"		"thứ gì đó"	
17852	2	"QU"	"error"	"Q2"	"you have something for me ?"	"thing"	"شئ"	"нещо"	"nesto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotakin"	"quelque chose"	"משהו"	"nešto"	"valamid"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"кое-что"	"kaj"	"nešto"	"något"	"şey"	"gì"	"有东 西"
5714	2	"DN"	"disagreement"		"hey . something 's not right ."	"thing"	"شيء"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jokin"	"un"	"משהו"	"nešto"	"valami"	"ada"	"qualcosa"	"か 変"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-то"	"nekaj"	"нешто"	"nåt"	"terslik"	"chuyện gì"	"对劲"
17948	0	"DN"	"autoDN"		"nothing was ever wiser ."	"thing"	"يوجد"	"нищо"	"nista"	"nic"	"intet"	"nichts"	"τίποτε"	"nothing"	"nada"			"aucune"	"שום דבר"	"pametnijeg"		"bukan"	"niente"	"こと"	"niets"	"ingenting"	"nic"	"nada"		"ничего"	"nič"	"ništa"	"inget"	"şey yok"		"没有"
18034	6	"SP"	"agreement"		"sorcery . i knew there was something dubious going on here . elsa ."	"thing"		"нещо"	"nešto"		"noget"		"κάτι"	"something"	"algo"	"midagi"	"jotain"	"un truc"	"שמשהו"	"nešto"	"valami"		"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"algo"	"ceva"	"что-то"	"nekaj"	"нешто"	"nåt"	"bir şeyler"	"gì đó"	"something"
18264	24	"SP"	"agreement"	"IQ"	"he gave this to me . he knew i wanted it . what are you saying , that he just did this to hide something under it ? bobby : i do n't know . but i 've got to take a look ."	"thing"	"شيئاً"	"нещо"	"nesto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-то"	"nekaj"	"нешто"	"nåt"	"bir şey"	"thứ gì đó"	"些 什"
18273	9	"SP"	"agreement"		"( machine whirring ) look sharp . we got something . ( continues barking )"	"thing"	"شيئاً"		"nesto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"何 か"	"wat"	"noe"	"coś"	"algo"	"ceva"	"кто-то"	"nekaj"	"нешто"	"nåt"	"şey"	"gì đó"	
18292	15	"SP"	"agreement"		"well ? they 're pissed . justifiably . however , apparently , you stumbled upon something important . ( laughs ) do n't act so surprised , honey pot . the gold that officers pulsipher and walker brought in are part of an incredibly dangerous artifact known as the staff of jericho ."	"thing"	"شيئاً"	"нещо"	"nesto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"millegi"	"jotain"	"un truc"	"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"		"iets"	"noe"	"coś"	"coisa"	"ceva"	"что-то"	"nekaj"	"нешто"	"nåt"	"bir şey"	"chuyện"	
18306	3	"NS"	"disagreement"		"it would be something he carried with him all the time ."	"thing"	"شيئ"	"нещо"	"nesto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jokin"		"משהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"何 か"		"noe"		"coisa"	"ceva"	"что-то"	"nekaj"	"нешто"	"nåt"	"bir şey"	"một thứ gì đó"	"东西"
18310	6	"FC"	"agreement"		"sweetheart , you can ask me anything you want ."	"thing"		"каквото"	"god"	"cokoli"	"lige"	"alles"	"οτιδήποτε"	"anything"	"lo"	"minult"	"ihan"	"tout"		"što god"	"bármit"	"apa saja"	"tutto quello"	"何"	"wat"	"helst"	"zechcesz"		"orice"		"kar"	"питаш"	"vad"	"her"		"任 何"
18322	19	"SP"	"agreement"		"roy : stash this gold with the rest of it . and here . hey , we just booked something just like this . it 's in the basket over there ."	"thing"	"شيئاً"	"нещо"	"nesto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"		"un truc"	"משהו"	"nešto"	"valami"	"sesuatu"	"una cosa"		"zoiets"		"coś"	"uma coisa"	"ceva"	"что-то"	"nekaj"	"нешто"	"nåt"	"bir şey"	"cái"	"东西"
17715	27	"FC"	"agreement"		"okay , listen , whoever this is , the police are on their way right this second . i suggest you leave that house before you do anything you 're gon na regret ."	"thing"	"شيء"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"anything"	"algo"	"midagi"	"jotain"	"chose"	"משהו"	"nešto"	"olyat"	"sesuatu"	"qualcosa"	"何 も"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"			"nešto"	"nåt"		"gì"	
18380	4	"QU"	"agreement"		"can you tell me anything about yourself ? who you are ? where you came from ? anything at all ."	"thing"	"أيّ"	"нещо"	"nesto"	"něco"	"noget"	"was"		"anything"	"algo"	"midagi"	"mitään"	"j'aimerais"	"משהו"	"nešto"	"bármit"		"qualcosa"	"こと"	"iets"	"litt"	"coś"	"algo"	"ceva"		"kaj"	"nešto"	"nåt"		"gì"	"聊"
18383	4	"DN"	"agreement"		"i ca n't remember anything ."	"thing"	"شيء"		"nicega"		"noget"		"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"rien"	"כלום"	"ničega"	"semmire"		"niente"	"何 も"	"niets"	"noenting"	"nic"	"nada"	"nimic"	"ничего"	"ničesar"	"nićega"	"ingenting"	"şey"	"gì cả"	
18384	6	"DN"	"agreement"		"- why ca n't i remember anything ? - it 's okay ."	"thing"	"أي"		"nicega"	"nic"	"noget"		"τίποτα"	"anything"	"nada"	"midagi"	"mitään"		"כלום"	"ničega"	"semmire"		"niente"	"何 も"	"niets"	"noe"		"nada"	"nimic"	"ничего"	"ničesar"	"nićega"	"ingenting"	"şey"	"gì hết"	"什麼 都 不記"
18429	5	"DN"	"error"		"and they have n't found anything ? it 's a lot easier said than done ."	"thing"	"أيّ"	"нищо"	"nista"		"noget"		"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"rien"		"ništa"	"semmit"		"niente"	"何 も"	"niets"	"noenting"	"nic"	"nada"	"nimic"	"ничего"	"nič"	"ništa"	"nåt"	"şey"	"gì hết"	"什麼 都"
18564	6	"SP"	"agreement"		"that 's disgusting . there 's something in there ."	"thing"	"شيء"	"нещо"	"nesto"	"něco"	"noget"	"was"	"κάτι"	"something"	"algo"	"midagi"	"jotakin"		"משהו"	"nešto"		"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"algo"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"şey"	"thứ gì"	"東西"
18592	5	"DN"	"agreement"		"why ca n't i remember anything ?"	"thing"	"أي"	"нищо"	"nicega"	"nic"	"noget"	"nichts"	"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"rien"	"כלום"	"ničega"	"hely"		"niente"	"何"	"niets"	"noe"	"nic"	"nada"	"nimic"	"ничего"	"ničesar"	"nićega"	"ingenting"	"şey"	"gì cả"	"什麼 都"
18597	11	"DN"	"agreement"		"i ca n't remember . none of us here can remember anything ."	"thing"	"شيء"	"нищо"	"nicega"	"nic"	"noget"	"etwas"	"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"passé"	"כלום"	"ničega"	"semmire"		"niente"	"も 何 も"	"iets"			"nada"	"nimic"	"все ничего"	"ničesar"	"nićega"	"nåt"	"şey"	"gì cả"	"不記"
18617	6	"DN"	"error"		"and the others do n't remember anything ? no ."	"thing"	"أي"	"нищо"	"nicega"	"nic"	"noget"	"nichts"	"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"mémoire"	"דבר"	"ničega"	"semmire"		"niente"	"何 も"	"niets"	"ingenting"	"nic"	"nada"	"nimic"	"ничего"	"ničesar"	"nićega"	"ingenting"	"şey"	"gì hết"	"什麼 都 不記"
18759	14	"DN"	"autoDN"		"pick your ass up and finish what you started . because if we do nothing ... then that means alby died for nothing , and i ca n't have that ."	"thing"	"شيئاً"		"nista"	"nic"	"noget"		"τίποτα"	"nothing"	"nada"	"mitte midagi"	"mitään"	"rien"	"כלום"	"ništa"	"teszünk semmit"		"niente"	"も"	"niets"	"noe"	"nic"	"nada"	"nimic"	"ничего"	"nič"	"ućinimo ništa"	"inget"	"şey"	"gì"	"斃"
18759	14	"DN"	"autoDN"		"pick your ass up and finish what you started . because if we do nothing ... then that means alby died for nothing , and i ca n't have that ."	"thing"		"нищо"		"zbytečně"	"ingenting"	"umsonst"	"μάταια"	"nothing"	"nada"	"midagi"	"mitään"	"rien"	"לשווא"	"ništa"		"sia"	"niente"	"も"	"niets"	"ingenting"		"nada"	"van"	"ничего"	"zaman"	"uzalud"	"inget"		"vô"	"斃"
18765	24	"FC"	"corrected"	"IQ"	"i do n't wan na have to cross any more names off that wall . you really think banishing us is gon na solve anything ?"	"thing"		"нещо"	"nesto"	"něco"	"noget"	"alles"	"κάτι"	"anything"	"algo"	"midagi"	"jotain"	"tout"		"nešto"	"bármit"		"tutto"	"何"	"iets"		"coś"	"alguma coisa"	"ceva"	"что-то"	"kaj"	"nešto"	"nåt"	"şey"	"chuyện gì"	"何"
10359	26	"DN"	"agreement"		"you should have seen their fort . all blown apart and stuck in giant spikes of ice . it was weird . i 've never seen anything like it ."	"thing"	"شيئا"	"чудо"	"nešto"		"noget"	"etwas"	"κάτι"	"anything"	"nada"	"midagi"	"vastaavaa"		"דבר"	"što"	"olyat"		"genere"	"も"	"zoiets"	"noe"	"czegoś"	"coisa"	"ceva"	"ничего"	"česa"	"nešto"	"nåt"	"şey"	"thứ gì"	
18923	25	"DN"	"autoDN"		"in your searches , did you find any golf clubs , real fancy ? no . how about a brand new stratocaster ? no , nothing like that . well , all right ."	"thing"	"شيء"	"нищо"		"nic"	"ikke"	"nichts"	"τίποτα"	"nothing"	"nada"	"midagi"		"rien"		"ništa"	"semmi"	"ada"	"niente"	"無"	"nee"	"noe"	"nic"	"nada"	"nu"		"-nič"	"ništa"	"inget"		"thứ gì"	"没有"
18506	2	"SP"	"agreement"		"wait , something 's wrong ."	"thing"	"شيء"	"нещо"	"nesto"		"somethings"	"irgendwas"	"κάτι"	"something"	"algo"	"midagi"	"jokin"	"un"	"משהו"	"nešto"		"ada"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"algum"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"bir"	"gì"	"事情"
18944	11	"UF"	"disagreement"		"- hey , i 've been thinking . - yeah ? something positive ."	"thing"	".شيء"	"нещо"		"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"		"nešto"	"valami"	"sesuatu"		"事"	"iets"	"noe"	"coś"	"algo"	"ceva"			"nešto"	"nåt"	"bir sey"	"chuyện"	"东西"
16706	2	"SP"	"agreement"		"they cleared something away from here . not minutes ago . like what ? i 'm not sure . something mechanical . holmes , look at this ."	"thing"	"شيئاً"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"un"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"何 か"	"iets"	"noe"	"coś"	"alguma coisa"	"ceva"	"что-то"		"nešto"	"något"	"bir şeyleri"		"东"
19070	9	"DN"	"autoDN"		"- what have you been up to ? - nothing . amy , i 'm not nick . it 's hard for me ."	"thing"	"شيء"	"нищо"	"-ništa"	"nic"	"noget"	"nichts"	"τίποτα"	"nothing"	"nada"	"millegagi"	"mitään"	"rien"	".כלום-"	"-ništa"	"semmit"	"tidak ada"	"niente"	"別"	"niets"	"ingenting"	"nic"	"-nada"	"nimic"	"ничего"	"-nič"	"-ništa"	"-ingenting"	"hiç"		"没事"
19227	6	"NS"	"agreement"		"well , we got ta do something about this frickin ' swing set ."	"thing"	"شيئاً"	"нещо"	"nesto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"		"jotain"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"か"	"iets"	"noe"		"alguma coisa"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"bir şey"	"cái"	"处"
19260	40	"SP"	"agreement"		"what about you ? absolutely . really ? i mean , not like a heaven where you ride on a unicorn all day ... and live in a mansion made of clouds ... but yes , i definitely believe in something ."	"thing"	"شيء"	"нещо"	"nesto"	"něco"	"noget"	"irgendetwas"	"κάτι"	"something"	"algo"		"johonkin"	"quelque chose"	"במשהו"	"nešto"	"valami"	"sesuatu"	"qualcosa"	"か あ"	"iets"	"noe"		"algo"	"ceva"	"что-то"	"nekaj"	"nešto"	"nåt"	"bir"	"điều"	"某"
19331	6	"IN"	"agreement"		"i do n't want to read anything . can you just get out of my car ?"	"thing"	"أي"	"нищо"	"nista"	"nic"	"noget"		"τίποτα"	"anything"	"nada"	"midagi"	"mitään"		"שום דבר"	"ništa"	"semmit"	"apapun"	"niente"	"何 も"	"niets"	"noe"	"nic"	"nada"	"nimic"	"ничего"	"ničesar"	"ništa"	"nåt"	"şey"	"thứ gì hết"	"都"
19400	6	"SP"	"error"		"i 'm trying to teach you something ."	"thing"	"شيئا"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"un truc"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"		"iets"	"noe"	"czegoś"	"alguma coisa"	"ceva"		"nečesa"	"nešto"	"nånting"	"şeyler"		
