"utterance"	"word"	"annotation"	"source"	"secondary"	"sentence"	"type"	"ar"	"bg"	"bs"	"cs"	"da"	"de"	"el"	"en"	"es"	"et"	"fi"	"fr"	"he"	"hr"	"hu"	"id"	"it"	"ja"	"nl"	"no"	"pl"	"pt"	"ro"	"ru"	"sl"	"sr"	"sv"	"tr"	"vi"	"zh"
6812	20	"NS"	"agreement"		"katniss has her gold mockingjay pin . i have my hair . i 'm going to get you two boys something gold ."	"thing"	"شئ"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valami"	"barang"	"qualcosa"	"物"	"iets"	"noen"	"coś"	"algo"	"ceva"	"что-нибудь"	"nekaj"	"нешто"	"lite"	"bir şey"	"một thứ"	
6863	4	"DN"	"agreement"		"we have never seen anything like this . and we will never see anything like it again ."	"thing"	"شئ"	"нещо"	"nešto"		"noget"		"κάτι"	"anything"	"nada"	"midagi"		"rien"	"דבר"	"ništa"	"ilyet"		"nulla"	"もの"	"zoiets"	"noe"	"oglądaliśmy"	"nada"	"ceva"	"ничего"	"kaj"	"ништа"	"något"	"şey"		"从来没见"
6994	9	"DN"	"autoDN"		"if you die and i live i 'd have nothing ."	"thing"	"شئ"	"нищо"	"ništa"	"nic"	"intet"	"nichts"	"τίποτα"	"nothing"	"nada"	"midagi"	"ei"	"rien"	"דבר"	"ništa"	"semmim"	"ada"	"niente"		"niets"	"ingenting"	"niczym"	"nada"	"nimic"	"никого"	"izgubil vse"	"ништа"	"ingenting"		"gì cả"	"无 所有"
7044	0	"NS"	"agreement"		"something else ?"	"thing"	"شيءٌ"	"нещо"	"nešto"	"něco"	"der"	"gibt"	"κάτι"	"something"	"¿algo"	"midagi"		"quelque chose"	"משהו"	"nešto"		"ada"	"dell'altro"		"iets"	"noe"		"alguma"	"altceva"	"что-то"	"kaj"	"nešto"	"nåt"		"gì"	"什"
7075	14	"IN"	"agreement"		"- you need to ask yourself -- - i do n't need to do anything ."	"thing"	"أي"	"нищо"	"ništa"	"nic"	"ingenting"	"nichts"	"τίποτα"	"anything"	"nada"	"midagi"	"mitään"	"soit"	"כלום-"	"ništa"	"semmit"	"apapun"	"nulla"		"niets"	"noe"	"niczego"	"nada"	"nimic"	"ничего"		"ništa"	"ingenting"	"şey"	"gì cả"	"做任 何事"
7077	18	"DN"	"agreement"		"much better . i still do n't believe it . he did n't . he did n't want anything . he just takes an interest because he loved my mother ."	"thing"	"بأي"	"нищо"			"noget"	"nichts"	"τίποτα"	"anything"	"nada"	"minult midagi"	"mitään"	"rien"	"כלום"	"-ništa"	"semmit"	"apapun"	"nulla"		"helemaal niets"	"noe"	"niczego"	"nada"	"nimic"	"просил"		"ništa"	"ingenting"	"şey"	"gì cả"	"都"
7083	6				"if he does ask you for anything or try anything or touch you , i want you to tell me . why ? what will you do ? i will make him stop ."	"thing"	"بأي"	"нещо"	"nešto"	"požádá"	"noget"		"κάτι"	"anything"	"algo"	"midagi"	"mitään"	"tout"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"	"たり"	"iets"	"noe"	"czegoś"	"algo"	"ceva"	"что-нибудь"	"kaj"	"nešto"	"nåt"	"şey"	"làm gì"	"有所 企图"
7208	17	"SP"	"agreement"		"except one evening , after he 'd had far too much wine to drink , he suggested something -- something that sounded very painful and could n't possibly result in children ."	"thing"	"شيئًا"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"ami"	"sesuatu"	"ben"	"事"	"iets"	"noe"	"coś"	"algo"	"ceva"	"нечто"		"nešto"	"nåt"	"şey"	"chuyện"	"某"
7217	9	"QU"	"agreement"		"could you do it ? could you ... kill something ?"	"thing"	"شيئًا؟"	"нещо"	"nešto"	"něco"	"noget"	"etwas"	"κάτι"	"something"	"algo"	"midagi"	"jotain"	"quelque chose"	"משהו"	"nešto"	"valamit"	"sesuatu"	"qualcosa"		"iets"	"noe"	"coś"	"algo"	"ceva"	"кого-то"	"kaj"	"nešto"	"nåt"	"şeyi"	"thứ gì đó"	"杀生"
7225	4	"FC"	"agreement"		"i 'll tell you anything . just take it off . please . please , just take it off ."	"thing"	"بأي"	"всичко"	"sve"	"cokoliv"	"helst"	"alles"	"πάντα"	"anything"	"sea"	"soovite"	"vain"	"quelque chose"	"כל דבר"	"sve"	"mindent"	"apa saja"	"tutto"		"alles"	"helst"	"chcesz"			"угодно"	"vse"	"sve"		"her şeyi"	"hết mọi thứ"	"什 么 都"
